English,Turkish
you,sen
i,i
the,.
to,ile
a,a
s,s
it,BT
and,ve
that,o
t,t
of,ile ilgili
is,dır-dir
in,içinde
what,ne
we,biz
me,Ben
this,Bu
he,o
for,için
my,benim
on,üzerinde
have,Sahip olmak
your,sizin
do,yapmak
was,olmuş
m,m
no,hayır
not,olumsuzluk
be,olmak
are,var olan
don,giymek
re,tekrar
know,bilmek
can,olabilmek
with,ile birlikte
but,Ancak
all,herşey
so,Bu yüzden
just,sadece
there,orada
here,Burada
they,onlar
like,beğenmek
ll,LL
get,elde etmek
she,o
go,Git
if,Eğer
right,sağ
out,dışarı
about,hakkında
up,yukarı
at,-den
him,o
now,şimdi
oh,ah
one,bir tane
come,gelmek
well,kuyu
her,o
how,nasıl
yeah,Evet
ve,Vezik
will,irade
got,var
want,istemek
think,düşünmek
as,olarak
see,görmek
did,yaptı
good,iyi
who,kim
why,Niye
from,itibaren
let,İzin Vermek
his,onun
yes,evet
when,ne zaman
going,gidiyor
time,zaman
an,bir
okay,tamam aşkım
back,geri
look,bakmak
us,biz
would,istemek
them,onlara
where,nerede
were,olmuş
take,almak
then,o zamanlar
had,vardı
or,veya
been,olmuştur
our,bizim
gonna,yapacak
tell,söylemek
really,Gerçekten
man,adam
some,bazı
say,söylemek
hey,hey
could,abilir
d,d
didn,yoktu
by,tarafından
need,ihtiyaç
something,bir şey
has,vardır
too,fazla
more,daha fazla
way,yol
down,aşağı
make,Yapmak
very,çok
never,asla
only,bir tek
people,insanlar
over,üzerinde
because,çünkü
little,biraz
please,lütfen
love,aşk
should,meli
mean,kastetmek
said,söz konusu
sorry,Üzgünüm
give,vermek
off,kapalı
am,Ben
thank,teşekkür
any,hiç
two,2
even,hatta
much,fazla
doing,yapmak
sure,Elbette
thing,şey
these,bunlar
help,Yardım Edin
first,ilk
into,içine
anything,herhangi bir şey
still,hâlâ
find,bulmak
life,hayat
nothing,hiç bir şey
sir,Bayım
day,gün
god,tanrı
work,İş
their,onların
uh,uh
again,Yeniden
maybe,belki
must,zorunlu
before,önceki
other,diğer
wait,Bekle
stop,Dur
call,Arama
after,sonrasında
won,kazanmak
talk,konuşmak
away,uzak
than,hariç
thought,düşünce
home,ev
night,gece
put,koy
great,İyi
those,şunlar
last,geçen
better,daha iyi
everything,her şey
told,söylenmiş
mr.,Bay.
new,yeni
things,şeyler
always,her zaman
keep,Tut
long,uzun
years,yıllar
leave,ayrılmak
does,yapmak
money,para
around,etrafında
doesn,değil
name,isim
place,yer
ever,durmadan
feel,hissetmek
guys,çocuklar
father,baba
guy,insan
made,yaptı
old,eskimiş
isn,ISN
which,hangisi
big,büyük
lot,pay
done,tamamlamak
hello,merhaba
nice,Güzel
believe,inanmak
girl,kız
someone,birşey
fine,iyi
thanks,Teşekkürler
wanted,aranan
kind,tür
coming,gelen
house,ev
every,her
ok,Tamam
through,vasıtasıyla
being,olmak
course,kurs
stay,kalmak
left,sol
dad,baba
enough,yeterli
happened,olmuş
came,gelmek
may,Mayıs
mother,anne
wrong,yanlış
world,dünya
bad,kötü
might,Might
three,üç
today,bugün
listen,dinlemek
another,bir diğer
understand,anlamak
hear,duymak
remember,hatırlamak
ask,Sor
own,sahip olmak
same,aynı
show,göstermek
else,Başka
kill,öldürmek
talking,konuşma
found,kurmak
next,sonraki
getting,edinme
care,bakım
car,araba
looking,bakan
son,oğul
try,Deneyin
woman,Kadın
went,gitmiş
hi,Merhaba
dead,ölü
many,birçok
mind,akıl
wasn,yoktu
friend,arkadaş
best,en iyi
mom,anne
hell,cehennem
morning,sabah
trying,deneme
boy,oğlan
together,bir arada
yourself,kendin
job,Görev
saw,testere
family,aile
real,gerçek
without,olmadan
baby,bebek
room,oda
wouldn,olmaz
already,çoktan
move,hareket
most,en
seen,görülen
live,canlı
miss,kayıp
actually,aslında
huh,Ha
shit,bok
both,ikisi birden
heard,Duymak
once,bir Zamanlar
ready,hazır
head,kafa
called,isminde
used,Kullanılmış
idea,fikir
knew,bilen
hold,tutmak
happy,mutlu
door,kapı
such,çok
fuck,Kahretsin
brother,Erkek kardeş
also,ayrıca
pretty,güzel
bit,biraz
took,alınmış
haven,cennet
yet,hala
men,erkekler
whole,tüm
start,Başlat
use,kullanmak
while,süre
since,dan beri
wife,eş
days,günler
guess,tahmin etmek
tomorrow,yarın
matter,konu
meet,tanışmak
bring,getirmek
tonight,Bu gece
everyone,herkes
run,koşmak
wanna,istemek
hard,sert
ah,Ah
alone,yalnız
myself,kendim
school,okul
gone,gitmiş
um,umurumda
end,son
saying,söz
phone,telefon
play,Oyna
looks,görünüyor
couldn,yapamadım
fucking,lanet olası
problem,sorun
few,bir kaç
friends,arkadaşlar
gotta,yapmalı
ago,evvel
open,açık
anyone,kimse
killed,öldürülmüş
hope,umut
face,yüz
until,a kadar
lost,kayıp
police,polis
excuse,mazeret
turn,dönüş
business,işletme
case,durum
wants,istek
says,diyor
TRUE,DOĞRU
die,ölmek
heart,kalp
soon,yakında
each,her biri
worry,endişelenmek
later,sonra
year,yıl
watch,izlemek
music,müzik
hand,el
having,sahip
probably,muhtemelen
beautiful,güzel
doctor,doktor
sit,oturmak
eat,yemek
thinking,düşünme
young,genç
second,ikinci
working,Çalışma
water,su
person,kişi
part,parça
kids,çocuk
late,geç
stuff,şey
exactly,kesinlikle
under,altında
death,ölüm
minute,dakika
pay,ödemek
crazy,çılgın
forget,unutmak
everybody,herkes
kid,çocuk
change,değiştirmek
gave,verilmiş
happen,olmak
damn,lanet etmek
five,beş
drink,İçmek
far,uzak
knows,bilir
its,onun
whatever,her neyse
eyes,gözler
shut,kapamak
aren,aren
hit,vurmak
taking,alıcı
easy,kolay
times,zamanlar
check,Kontrol
hands,eller
minutes,dakikalar
deal,anlaştık mı
different,farklı
means,anlamına geliyor
point,puan
inside,içeri
makes,iş yapmak
asked,diye sordu
somebody,biri
mine,benim
making,yapımı
body,gövde
afraid,korkmuş
sleep,uyumak
chance,şans
dear,sevgili
quite,epeyce
four,dört
anyway,her neyse
close,kapat
ain,Ain
party,Parti
fun,eğlence
against,karşısında
word,kelime
comes,gelir
important,önemli
set,ayarlamak
shall,acak
story,Öykü
number,sayı
daughter,kız evlat
least,en az
waiting,beklemek
hurt,canını yakmak
wish,dilek
moment,an
fight,kavga etmek
week,hafta
husband,erkek eş
girls,kızlar
rest,dinlenmek
married,evli
fire,ateş
game,oyun
nobody,kimse
mr,Bay
children,çocuklar
side,yan
stand,ayakta durmak
read,okuman
though,rağmen
cut,kesmek
started,başlayan
sister,kız kardeş
supposed,sözde
between,arasında
child,çocuk
goes,gitmek
hours,saat
speak,konuşmak
women,KADIN
behind,arka
almost,neredeyse
truth,gerçek
blood,kan
able,yapabilmek
lady,Hanım
anymore,artık değil
playing,oynama
gets,yakmak
shot,vuruş
reason,sebep
trouble,sorun
break,kırmak
war,savaş
city,Kent
walk,yürümek
town,şehir
